# QUARANTINED — UNPREREGISTERED EVALUATION OF CURRENT PIPELINE FAMILY — 禁止引用为调参依据
station,sample_count,raw_gefs_mae,calibrated_mae,calibrated_rmse,implied_sigma_star,mean_sigma_f,frozen_c_train,var_evt_factor,kappa_evt,empirical_s_oos,s_oos_pass,pit_mean,pit_std,pit_mean_pass,ks_statistic,ks_p_value,ks_pass,ece_7bin,ece_7bin_pass,ece_center_bin,coverage_90,coverage_90_pass,all_gates_pass
KORD,365,4.146248078960262,2.5935041424958394,3.434687677537039,3.250475406976349,3.332224554533818,1.0678138456280364,1.0397426701591719,1.0196777285785799,1.040033480919535,True,0.5011640885378797,0.2914577583823934,True,0.02475199535295869,0.9746958262244405,True,0.0023211102072966026,True,0.00643867629717935,0.915068493150685,True,True
KLGA,365,3.3878141905902184,2.327004539902428,3.200198448646102,2.916467687457064,3.1715837435264542,1.0806289423709716,1.0436888593234737,1.0216109138627454,0.9792355667435055,True,0.5057554363257853,0.2847772583588527,True,0.05132643054947966,0.28169113014436986,True,0.00806785136893408,True,0.0370747234337748,0.8876712328767123,True,True
KATL,365,3.8686514031397152,2.2606606328284693,3.228264729055455,2.8333179307965257,3.1042229286896115,1.0624690179533796,1.05052830366917,1.0249528299727602,1.0284749191219025,True,0.5008927694551774,0.2790109560827429,True,0.04729037625587451,0.37624185856792514,True,0.015219763844736844,True,0.033143287059401026,0.9041095890410958,True,True
KDAL,365,6.1137477500602,2.4541629137792764,3.44103805811098,3.075837075114968,3.3948323514065373,1.0653399153617664,1.0975585425957886,1.0476442824717693,0.9371816762134232,True,0.5130025224193103,0.2815557279983579,True,0.05485473576073441,0.21408326024286473,True,0.00799353959087149,True,0.03418705624504657,0.9041095890410958,True,True
KSEA,365,7.882821026318693,2.7172397691096166,3.4360360700515833,3.405555017100988,3.458793468855308,1.0348828061256907,1.027735554073694,1.013772930233242,0.9881418403124435,True,0.4926187530609557,0.2939261555918996,True,0.032901152700216485,0.8117893443142503,True,0.004747204305424995,True,0.009380304013707624,0.8849315068493151,True,True
KLAX,365,5.5521416199566564,2.9499454465757915,4.066086683072921,3.697208332502926,4.206964489102404,1.1024696378354404,1.1093716002696965,1.0532671077507816,0.9030231880779143,True,0.511028267187088,0.27733118231325116,True,0.05159168718457685,0.27612618960706614,True,0.008526503238465204,True,0.04306746465171202,0.8904109589041096,True,True
KHOU,365,3.6292835254407905,2.273101644432138,3.0725029647692383,2.84891042652191,2.837803849761315,1.0636927300929069,1.093160872245548,1.045543338291411,1.1089452689018298,True,0.503096301855299,0.2979997395086338,True,0.03837782858035366,0.6411061299156772,True,0.011692519408209636,True,0.0550706046566751,0.9068493150684932,True,True
KMIA,365,3.593905017591502,1.3617658451188503,1.8797303707932416,1.7067203854008448,1.7914221586716303,1.1090366278659622,1.0948624961057725,1.046356772857983,1.0755241919192065,True,0.5022943201050925,0.2916364600351908,True,0.027295087312274147,0.9415851620654605,True,0.009096642924676117,True,0.05889631927704131,0.8958904109589041,True,True
KSFO,365,5.56477091582834,3.21664235132114,4.31679561910529,4.031463333598556,4.096019495070196,1.0664195819547584,1.0758093016567025,1.0372122741544774,1.0974594386372711,True,0.5013651312609979,0.28859381949179486,True,0.025241220076544613,0.9696458688080011,True,0.004364249097606469,True,0.013295896899495644,0.9178082191780822,True,True
KAUS,365,7.030608104130993,2.390772890040494,3.4036291912599093,2.9963894621983864,3.220349857843507,1.0430640500535984,1.0559989890831656,1.0276181144195375,1.060681834593525,True,0.5068706827464178,0.28887306201310703,True,0.031440952105654896,0.8519794933064331,True,0.003827268635449197,True,0.034380091845634064,0.9013698630136986,True,True
