station,target_type,lead_hour,season,model_filename,archived_path,training_window,fitting_script_version,file_sha256,status
KATL,Max,lead12h,Autumn,data/models/KATL_Autumn_Max_lead12h.pkl,data/models/archive_legacy_20260920/KATL_Autumn_Max_lead12h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),359cfe5443477411c4f501274c1926962b4bb040a1e595171d89c0d072eb8865,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Max,lead18h,Autumn,data/models/KATL_Autumn_Max_lead18h.pkl,data/models/archive_legacy_20260920/KATL_Autumn_Max_lead18h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),80f8d5130e4d648b6a2ffd7f4a4895d6c759bd31265b811c7c3d18618e130af9,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Max,lead24h,Autumn,data/models/KATL_Autumn_Max_lead24h.pkl,data/models/archive_legacy_20260920/KATL_Autumn_Max_lead24h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),5993038af86ecc9ec3a5fd10d14238b0f520e587cd4fd8c5f70976962595e70b,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Max,lead30h,Autumn,data/models/KATL_Autumn_Max_lead30h.pkl,data/models/archive_legacy_20260920/KATL_Autumn_Max_lead30h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),09345f506b6ad903f5c283cc54d0d3f31fcedac14aa23b46f53ee584b7d05dd9,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Max,lead36h,Autumn,data/models/KATL_Autumn_Max_lead36h.pkl,data/models/archive_legacy_20260920/KATL_Autumn_Max_lead36h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),91a3aaaeee62537d7dd600108efc1e5369a1710e7ebd23fc18389f66bb8d48bc,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Max,lead42h,Autumn,data/models/KATL_Autumn_Max_lead42h.pkl,data/models/archive_legacy_20260920/KATL_Autumn_Max_lead42h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),50bfebe9ff24cbac9a131da25014bc9c21d71d8d32dddee761f86d18bfbddc73,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Max,lead48h,Autumn,data/models/KATL_Autumn_Max_lead48h.pkl,data/models/archive_legacy_20260920/KATL_Autumn_Max_lead48h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),9dc7ded1c15c8e19c2fe41bf72b4a68f3059c6995db092f677bbf89b268f56f9,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Max,lead54h,Autumn,data/models/KATL_Autumn_Max_lead54h.pkl,data/models/archive_legacy_20260920/KATL_Autumn_Max_lead54h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),f7ef887fb7227e413b6516b1988faeb83ab756b55293c5e16d1f33246819a524,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Max,lead66h,Autumn,data/models/KATL_Autumn_Max_lead66h.pkl,data/models/archive_legacy_20260920/KATL_Autumn_Max_lead66h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),d19e8d9479e9d84e308b9ebffabc89ce100c7b7b143fdb0c88f470be3e1930da,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Max,lead6h,Autumn,data/models/KATL_Autumn_Max_lead6h.pkl,data/models/archive_legacy_20260920/KATL_Autumn_Max_lead6h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),7c419cbbd085d959a16843222bbcba28067ec9c7f1e80077d3a918546127ae21,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Min,lead12h,Autumn,data/models/KATL_Autumn_Min_lead12h.pkl,data/models/archive_legacy_20260920/KATL_Autumn_Min_lead12h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),cb704aee44192d7cfc0dbc293d8cd39cecb5cac3dfb57c2e5259b6631844460e,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Min,lead18h,Autumn,data/models/KATL_Autumn_Min_lead18h.pkl,data/models/archive_legacy_20260920/KATL_Autumn_Min_lead18h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),8ebe18f35f9af0c6e5dc45a98d9c8c2e90ad1813efe8a6034f5021ba6bd8bfdc,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Min,lead24h,Autumn,data/models/KATL_Autumn_Min_lead24h.pkl,data/models/archive_legacy_20260920/KATL_Autumn_Min_lead24h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),fb7f8f29daddfcfcb22df9ee204c2d67ceb01acccc9fa68f160492d2f7ab5b94,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Min,lead30h,Autumn,data/models/KATL_Autumn_Min_lead30h.pkl,data/models/archive_legacy_20260920/KATL_Autumn_Min_lead30h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),89908ccc98bc7f43fb789cd24fc052d216f0869cf6658c67d642c455fbdc912f,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Min,lead36h,Autumn,data/models/KATL_Autumn_Min_lead36h.pkl,data/models/archive_legacy_20260920/KATL_Autumn_Min_lead36h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),bc9dfe57922e1d8740f4959816e707f837104a664425c9ba3b2abd0c4b6490aa,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Min,lead42h,Autumn,data/models/KATL_Autumn_Min_lead42h.pkl,data/models/archive_legacy_20260920/KATL_Autumn_Min_lead42h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),af6374a923ea25a60a36ab9dfe2f5cad8f16c9da8d9417cd4731b3d683141c9b,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Min,lead48h,Autumn,data/models/KATL_Autumn_Min_lead48h.pkl,data/models/archive_legacy_20260920/KATL_Autumn_Min_lead48h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),2e7e26790f9047d35931394bb5b7fc9402c46efdee6c3959b28d40bf781e36fb,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Min,lead54h,Autumn,data/models/KATL_Autumn_Min_lead54h.pkl,data/models/archive_legacy_20260920/KATL_Autumn_Min_lead54h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),0a0168bfe8fe344237bcacf351c4b0112c78c580b162e773a6ad014cfb0a943a,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Min,lead60h,Autumn,data/models/KATL_Autumn_Min_lead60h.pkl,data/models/archive_legacy_20260920/KATL_Autumn_Min_lead60h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),5e0316fc8d19d3ede6041a12eb92fd1211d01e3e1ef00c936f71cdb9fa3f6c89,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Min,lead6h,Autumn,data/models/KATL_Autumn_Min_lead6h.pkl,data/models/archive_legacy_20260920/KATL_Autumn_Min_lead6h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),e740284126c5b743c1d1e933e2211ac75d31a82128b92870a8418fdf28da4cbe,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Max,lead12h,Spring,data/models/KATL_Spring_Max_lead12h.pkl,data/models/archive_legacy_20260920/KATL_Spring_Max_lead12h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),acaf37e2073bb7d0fc98abb7946c0abe234e8b98fcdf4754edfcf9625867837e,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Max,lead18h,Spring,data/models/KATL_Spring_Max_lead18h.pkl,data/models/archive_legacy_20260920/KATL_Spring_Max_lead18h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),b8d799c69ea4e17d7c6300d7280be7d27cadb066aba2df477e222b5b65557618,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Max,lead24h,Spring,data/models/KATL_Spring_Max_lead24h.pkl,data/models/archive_legacy_20260920/KATL_Spring_Max_lead24h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),b0ad3b68da97dd7770f1a87042b60b82daf9a35d74d8e0565d02bb0ec6a1ee3c,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Max,lead30h,Spring,data/models/KATL_Spring_Max_lead30h.pkl,data/models/archive_legacy_20260920/KATL_Spring_Max_lead30h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),921b3543e7659a23e10bce701394c622b883b11f518c52dcd8fd289376aa7903,SUPERSEDED_LEGACY_DEFECTIVE
KATL,Max,lead36h,Spring,data/models/KATL_Spring_Max_lead36h.pkl,data/models/archive_legacy_20260920/KATL_Spring_Max_lead36h.pkl,2000-2018,scripts/train_emos_matrix.py (commit 67d668b7),ac785d87a8309342ec692848ddc3c00bcf07d76d8b1f6d8a36707f5da4947191,SUPERSEDED_LEGACY_DEFECTIVE
