station,ghcn_id,file_size_bytes,download_wall_clock_seconds,rate_mb_s,sha256
KORD,USW00094846,10951840,49.35,0.22,7dd19adcfccee8cdb9c8ec3a4a80d86e591780a85b6774f7ca03b70dd12af263
KLGA,USW00014732,10939477,49.37,0.22,de01edecc793a0eb11569c05b381cd59105c2a18969ab9c48aec127b8d4a77ff
KATL,USW00013874,13510774,61.48,0.22,0d319153a5c0df5027d5e1ca9a73efb871ff5452bd6d35a4b68d81bf436983df
KDAL,USW00013960,10352613,20.24,0.51,a7546e5c1574ea8fe89816e3dba5fed323d4adad883a2e4e3242dc55dce26d56
KSEA,USW00024233,10619080,35.73,0.3,ff6c28dd7866878f00944df9191899ded3099a7785d1e3667ecdfdb2722fe1e7
KLAX,USW00023174,10852127,9.9,1.1,ef7061a78e87c87b1c32f36971c2e3519921bd36d0890d5384a317e1e52ea4ed
KHOU,USW00012918,10537929,36.78,0.29,a0f5fafb732934bdc086149314cd466a47bdc28ba70d3f2621009ab18aa13a07
KMIA,USW00012839,10218186,18.63,0.55,95e657957afbfb23d99da95141a425badbe1b3eafa227551a60da162bc9ec43e
KSFO,USW00023234,10704511,6.6,1.62,1efccf434edc9c32ef147d399100d8d4cc5c8bbf601cd71908d277ab6679dcaf
KAUS,USW00013904,6975354,16.01,0.44,726ebcd6d90471c90623c90429e7aad7e6fa6dc77d194c70f0ada2e0016f4446
