# REFERENCE ONLY — R-1 empirical tests (2019 All-Hourly ~0.41-0.50°F) belong to MADIS high-frequency regime. Ingestion regimes across the 2016 breakpoint are not directly comparable.
station,year,ingestion_regime,days,mean_all_minus_hourly,total_obs_mean,hourly_obs_mean,speci_divergence_pct
KORD,2000,LEGACY_METAR_DAILY_SUMMARY,366,N/A (Missing hourly flag in legacy archive),27.4,0.0,100.0
KORD,2001,LEGACY_METAR_DAILY_SUMMARY,365,N/A (Missing hourly flag in legacy archive),50.5,0.0,100.0
KORD,2002,LEGACY_METAR_DAILY_SUMMARY,365,N/A (Missing hourly flag in legacy archive),27.4,0.0,100.0
KORD,2003,LEGACY_METAR_DAILY_SUMMARY,365,N/A (Missing hourly flag in legacy archive),27.7,0.0,100.0
KORD,2004,LEGACY_METAR_DAILY_SUMMARY,366,N/A (Missing hourly flag in legacy archive),28.3,0.0,100.0
KORD,2005,LEGACY_METAR_DAILY_SUMMARY,365,N/A (Missing hourly flag in legacy archive),27.7,0.0,100.0
KORD,2006,LEGACY_METAR_DAILY_SUMMARY,365,0.3482,28.0,16.4,41.37
KORD,2007,LEGACY_METAR_DAILY_SUMMARY,365,0.1154,28.6,23.8,15.34
KORD,2008,LEGACY_METAR_DAILY_SUMMARY,366,0.0733,28.8,23.9,19.13
KORD,2009,LEGACY_METAR_DAILY_SUMMARY,365,0.0602,29.4,24.0,12.05
KORD,2010,LEGACY_METAR_DAILY_SUMMARY,365,0.0256,28.7,24.0,12.33
KORD,2011,LEGACY_METAR_DAILY_SUMMARY,365,0.0523,29.1,24.0,16.99
KORD,2012,LEGACY_METAR_DAILY_SUMMARY,366,0.0428,28.1,24.0,13.11
KORD,2013,LEGACY_METAR_DAILY_SUMMARY,365,0.075,29.1,24.0,14.52
KORD,2014,LEGACY_METAR_DAILY_SUMMARY,365,0.0375,29.9,24.0,9.86
KORD,2015,LEGACY_METAR_DAILY_SUMMARY,365,0.0399,29.9,23.9,11.23
KORD,2016,MADIS_HIGH_FREQUENCY_FEED,366,0.2056,218.8,55.6,26.78
KORD,2017,MADIS_HIGH_FREQUENCY_FEED,365,0.0636,310.6,70.9,12.88
KORD,2018,MADIS_HIGH_FREQUENCY_FEED,365,0.4428,312.5,71.2,40.0
KORD,2019,MADIS_HIGH_FREQUENCY_FEED,365,0.4059,314.1,71.4,34.52
KLGA,2000,LEGACY_METAR_DAILY_SUMMARY,366,0.0502,27.7,23.9,17.21
KLGA,2001,LEGACY_METAR_DAILY_SUMMARY,365,0.0434,26.8,24.0,11.23
