year,KATL,KAUS,KDAL,KHOU,KLAX,KLGA,KMIA,KORD,KSEA,KSFO
2000,0.1308,0.0777,0.028,0.0261,0.0354,0.0502,0.0,7.02,14.67,0.0649
2001,0.0439,0.0252,0.0158,0.0321,0.039,0.0434,1.98,,,0.037
2002,0.0804,0.0459,0.0365,0.0468,0.0488,0.033,,,,0.0937
2003,0.0449,0.0271,0.0414,0.0414,0.0325,0.0542,0.0457,,,0.0508
2004,0.0566,0.0,0.0246,0.0423,0.0472,0.0039,0.0541,,,0.0452
2005,0.0661,0.0089,0.0256,0.0927,0.0533,0.036,0.2446,,,0.0301
2006,0.0365,0.0,0.0217,0.0454,0.0399,0.0227,0.0429,0.3482,0.5349,0.0202
2007,0.0631,0.0237,0.0409,0.0715,0.0488,0.0464,0.0222,0.1154,0.0646,0.07
2008,0.0561,0.0374,0.0221,0.0634,0.0487,0.0295,0.0344,0.0733,0.0448,0.0354
2009,0.0572,0.0498,0.0473,0.0306,0.0187,0.0459,0.0049,0.0602,0.1036,0.0291
2010,0.0523,0.0187,0.0478,0.0385,0.0434,0.0513,0.0212,0.0256,0.0325,0.0399
2011,0.0399,0.0163,0.0493,0.0414,0.0621,0.0498,0.0572,0.0523,0.0562,0.0681
2012,0.0811,0.0216,0.029,0.0492,0.0364,0.0526,0.0236,0.0428,0.0541,0.1849
2013,0.0774,0.0316,0.038,0.0321,0.0434,0.0424,0.0434,0.075,0.0419,0.0523
2014,0.0473,0.0192,0.0681,0.0503,0.0202,0.0671,0.0464,0.0375,0.0286,0.0498
2015,0.0533,0.0345,0.0321,0.0646,0.0355,0.0444,0.0335,0.0399,0.0439,0.0468
2016,0.3477,0.2577,0.2066,0.3079,0.3487,0.328,0.2434,0.2056,0.2877,0.2734
2017,0.0833,0.0227,0.0681,0.0508,0.0325,0.0252,0.0503,0.0636,0.0375,0.0414
2018,0.4379,0.47,0.3605,0.4517,0.4221,0.4527,0.3255,0.4428,0.3694,0.5163
2019,0.4833,0.3782,0.4009,0.3679,0.4872,0.468,0.4325,0.4059,0.3699,0.4956
