station,ghcn_id,target_date,year,month,day,tmax_c,tmin_c,tmax_f,tmin_f,tmax_f_cli_rounded,tmax_attributes,truth_source
KMIA,USW00012839,2019-01-01,2019,1,1,27.8,21.7,82.04,71.06,82,",,W",ghcn_daily
KMIA,USW00012839,2019-01-02,2019,1,2,27.8,21.7,82.04,71.06,82,",,W",ghcn_daily
KMIA,USW00012839,2019-01-03,2019,1,3,28.3,22.8,82.94,73.04,83,",,W",ghcn_daily
KMIA,USW00012839,2019-01-04,2019,1,4,28.9,21.7,84.02,71.06,84,",,W",ghcn_daily
KMIA,USW00012839,2019-01-05,2019,1,5,26.1,16.7,78.98,62.06,79,",,W",ghcn_daily
KMIA,USW00012839,2019-01-06,2019,1,6,25.0,12.8,77.0,55.04,77,",,W",ghcn_daily
KMIA,USW00012839,2019-01-07,2019,1,7,26.1,15.6,78.98,60.08,79,",,W",ghcn_daily
KMIA,USW00012839,2019-01-08,2019,1,8,27.8,15.6,82.04,60.08,82,",,W",ghcn_daily
KMIA,USW00012839,2019-01-09,2019,1,9,25.0,17.2,77.0,62.96,77,",,W",ghcn_daily
KMIA,USW00012839,2019-01-10,2019,1,10,20.0,11.7,68.0,53.06,68,",,W",ghcn_daily
KMIA,USW00012839,2019-01-11,2019,1,11,24.4,11.7,75.92,53.06,76,",,W",ghcn_daily
KMIA,USW00012839,2019-01-12,2019,1,12,26.1,19.4,78.98,66.92,79,",,W",ghcn_daily
KMIA,USW00012839,2019-01-13,2019,1,13,26.7,20.0,80.06,68.0,80,",,W",ghcn_daily
KMIA,USW00012839,2019-01-14,2019,1,14,25.6,17.8,78.08,64.04,78,",,W",ghcn_daily
KMIA,USW00012839,2019-01-15,2019,1,15,20.6,13.9,69.08,57.02,69,",,W",ghcn_daily
KMIA,USW00012839,2019-01-16,2019,1,16,22.8,11.7,73.04,53.06,73,",,W",ghcn_daily
KMIA,USW00012839,2019-01-17,2019,1,17,25.6,13.9,78.08,57.02,78,",,W",ghcn_daily
KMIA,USW00012839,2019-01-18,2019,1,18,26.7,14.4,80.06,57.92,80,",,W",ghcn_daily
KMIA,USW00012839,2019-01-19,2019,1,19,25.6,15.6,78.08,60.08,78,",,W",ghcn_daily
KMIA,USW00012839,2019-01-20,2019,1,20,23.3,12.2,73.94,53.96,74,",,W",ghcn_daily
