station,ghcn_id,target_date,year,month,day,tmax_c,tmin_c,tmax_f,tmin_f,tmax_f_cli_rounded,tmax_attributes,truth_source
KORD,USW00094846,2019-01-01,2019,1,1,1.1,-3.2,33.98,26.24,34,",,W",ghcn_daily
KORD,USW00094846,2019-01-02,2019,1,2,-1.0,-3.2,30.2,26.24,30,",,W",ghcn_daily
KORD,USW00094846,2019-01-03,2019,1,3,3.3,-4.3,37.94,24.26,38,",,W",ghcn_daily
KORD,USW00094846,2019-01-04,2019,1,4,8.9,-0.5,48.02,31.1,48,",,W",ghcn_daily
KORD,USW00094846,2019-01-05,2019,1,5,11.1,0.0,51.98,32.0,52,",,W",ghcn_daily
KORD,USW00094846,2019-01-06,2019,1,6,4.4,-1.0,39.92,30.2,40,",,W",ghcn_daily
KORD,USW00094846,2019-01-07,2019,1,7,11.7,4.4,53.06,39.92,53,",,W",ghcn_daily
KORD,USW00094846,2019-01-08,2019,1,8,7.2,-4.3,44.96,24.26,45,",,W",ghcn_daily
KORD,USW00094846,2019-01-09,2019,1,9,-4.3,-9.3,24.26,15.26,24,",,W",ghcn_daily
KORD,USW00094846,2019-01-10,2019,1,10,-4.3,-9.9,24.26,14.18,24,",,W",ghcn_daily
KORD,USW00094846,2019-01-11,2019,1,11,-1.0,-8.2,30.2,17.24,30,",,W",ghcn_daily
KORD,USW00094846,2019-01-12,2019,1,12,0.0,-1.6,32.0,29.12,32,",,W",ghcn_daily
KORD,USW00094846,2019-01-13,2019,1,13,-0.5,-3.8,31.1,25.16,31,",,W",ghcn_daily
KORD,USW00094846,2019-01-14,2019,1,14,-2.7,-4.9,27.14,23.18,27,",,W",ghcn_daily
KORD,USW00094846,2019-01-15,2019,1,15,0.0,-4.3,32.0,24.26,32,",,W",ghcn_daily
KORD,USW00094846,2019-01-16,2019,1,16,1.1,-2.1,33.98,28.22,34,",,W",ghcn_daily
KORD,USW00094846,2019-01-17,2019,1,17,1.7,-2.1,35.06,28.22,35,",,W",ghcn_daily
KORD,USW00094846,2019-01-18,2019,1,18,-0.5,-2.7,31.1,27.14,31,",,W",ghcn_daily
KORD,USW00094846,2019-01-19,2019,1,19,-2.1,-11.6,28.22,11.12,28,",,W",ghcn_daily
KORD,USW00094846,2019-01-20,2019,1,20,-9.9,-15.5,14.18,4.1,14,",,W",ghcn_daily
