station,ghcn_id,target_date,year,month,day,tmax_c,tmin_c,tmax_f,tmin_f,tmax_f_cli_rounded,tmax_attributes,truth_source
KSFO,USW00023234,2019-01-01,2019,1,1,12.8,6.7,55.04,44.06,55,",,W",ghcn_daily
KSFO,USW00023234,2019-01-02,2019,1,2,12.2,3.3,53.96,37.94,54,",,W",ghcn_daily
KSFO,USW00023234,2019-01-03,2019,1,3,12.2,3.9,53.96,39.02,54,",,W",ghcn_daily
KSFO,USW00023234,2019-01-04,2019,1,4,17.2,3.9,62.96,39.02,63,",,W",ghcn_daily
KSFO,USW00023234,2019-01-05,2019,1,5,14.4,9.4,57.92,48.92,58,",,W",ghcn_daily
KSFO,USW00023234,2019-01-06,2019,1,6,16.1,8.3,60.98,46.94,61,",,W",ghcn_daily
KSFO,USW00023234,2019-01-07,2019,1,7,18.9,12.2,66.02,53.96,66,",,W",ghcn_daily
KSFO,USW00023234,2019-01-08,2019,1,8,16.7,11.1,62.06,51.98,62,",,W",ghcn_daily
KSFO,USW00023234,2019-01-09,2019,1,9,16.1,12.8,60.98,55.04,61,",,W",ghcn_daily
KSFO,USW00023234,2019-01-10,2019,1,10,18.9,10.0,66.02,50.0,66,",,W",ghcn_daily
KSFO,USW00023234,2019-01-11,2019,1,11,16.1,10.0,60.98,50.0,61,",,W",ghcn_daily
KSFO,USW00023234,2019-01-12,2019,1,12,16.7,13.3,62.06,55.94,62,",,W",ghcn_daily
KSFO,USW00023234,2019-01-13,2019,1,13,15.0,11.1,59.0,51.98,59,",,W",ghcn_daily
KSFO,USW00023234,2019-01-14,2019,1,14,13.9,8.9,57.02,48.02,57,",,W",ghcn_daily
KSFO,USW00023234,2019-01-15,2019,1,15,13.3,8.9,55.94,48.02,56,",,W",ghcn_daily
KSFO,USW00023234,2019-01-16,2019,1,16,17.2,11.1,62.96,51.98,63,",,W",ghcn_daily
KSFO,USW00023234,2019-01-17,2019,1,17,16.7,13.9,62.06,57.02,62,",,W",ghcn_daily
KSFO,USW00023234,2019-01-18,2019,1,18,17.8,12.8,64.04,55.04,64,",,W",ghcn_daily
KSFO,USW00023234,2019-01-19,2019,1,19,18.3,13.9,64.94,57.02,65,",,W",ghcn_daily
KSFO,USW00023234,2019-01-20,2019,1,20,14.4,11.7,57.92,53.06,58,",,W",ghcn_daily
